index,name_russian,name_original,year,bot_message_type,summary_preview
480,Грозные ночи,,1960,Blocked by security,"In 1942, blocked from the sea, Sevastopol was subject to continuous bombing and artillery shelling, and the delivery of either ammunition or food was impossible. The heroic defense has been going on for 250 days"
680,"И в шутку, и всерьёз...",,1963,Please confirm that you are not a robot,"Please confirm that you and not a robot are sending requestsWe're sorry, but it looks like requests sent from your device are automated. After checkbox you will have additional check."
744,Большой фитиль (киноальманах),,1963,Please confirm that you are not a robot,"Please confirm that you and not a robot are sending requestsWe're sorry, but it looks like requests sent from your device are automated. After checkbox you will have additional check."
1913,"Завтра, третьего апреля...",,1969,Please confirm that you are not a robot,"Please confirm that you and not a robot are sending requestsWe're sorry, but it looks like requests sent from your device are automated. After checkbox you will have additional check"
1990,"Я, следователь...",,1971,Please confirm that you are not a robot,"Please confirm that you and not a robot are sending requestsWe're sorry, but it looks like requests sent from your device are automated. After checkbox you will have additional check."
2149,Путина,,1971,Please confirm that you are not a robot,"Please confirm that you and not a robot are sending requestsWe're sorry, but it looks like requests sent from your device are automated. After checkbox you will have additional check."
2307,Этот славный парень,,1972,Please confirm that you are not a robot,"Please confirm that you and not a robot are sending requestsWe're sorry, but it looks like requests sent from your device are automated. After checkbox you will have additional check."
2421,Соленый пёс,,1973,Please confirm that you are not a robot,"Please confirm that you and not a robot are sending requestsWe're sorry, but it looks like requests sent from your device are automated. After checkbox you will have additional check."
2446,Свой парень,,1973,Please confirm that you are not a robot,"Please confirm that you and not a robot are sending requestsWe're sorry, but it looks like requests sent from your device are automated. After checkbox you will have additional check."
2448,...И тогда я сказал - нет...,,1973,Please confirm that you are not a robot,"Please confirm that you and not a robot are sending requestsWe're sorry, but it looks like requests sent from your device are automated. After checkbox you will have additional check."
2477,Мой добрый человек,,1973,Please confirm that you are not a robot,"Please confirm that you and not a robot are sending requestsWe're sorry, but it looks like requests sent from your device are automated. After checkbox you will have additional check."
2486,Друзья мои (киноальманах),,1973,Please confirm that you are not a robot,"Please confirm that you and not a robot are sending requestsWe're sorry, but it looks like requests sent from your device are automated. After checkbox you will have additional check."
2499,Требуется тигр,,1974,Please confirm that you are not a robot,"Please confirm that you and not a robot are sending requestsWe're sorry, but it looks like requests sent from your device are automated. After checkbox you will have additional check."
2521,Сюда прилетают лебеди,,1972,Please confirm that you are not a robot,"Please confirm that you and not a robot are sending requestsWe're sorry, but it looks like requests sent from your device are automated. After checkbox you will have additional check."
2578,Следую своим курсом,,1974,Blocked by security,"Following My Course” is a one-part feature film, a military drama about the Great Patriotic War on the Black Sea and the defense of Sevastopol, filmed in 1974 by director Vadim Lysenko at the Odessa Film Studio. More than once, ships of the Black Sea Fleet broke through to Sevastopol and delivered w..."
